x_pts,id,ver,type
2,4300,,
2,4301,,
2,4302,,
1.4,4290,2,
1.4,4291,2,
1.4,4292,2,
1.4,4293,2,
1.4,4280,2,
1.4,4297,2,
1.4,4298,2,
1.35,4288,4,
1.35,4289,4,
1.35,4285,4,
1.35,4287,4,
1.35,4299,4,
1.35,4294,4,
1.35,4295,4,
1.35,4296,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,4274,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4193,2,
1.25,4227,2,
1.25,4250,2,
1.25,4282,2,
1.25,4261,2,
1.2,4267,,legend
1.2,4268,,legend
1.2,4269,,rr
1.2,4270,,rr
1.2,3776,,rr
1.2,3777,,rr
1.2,4180,,rr
1.2,4181,,rr
1.2,4283,,rr
1.2,4284,,rr
1.2,2158,,raid
1.2,2893,,raid
1.2,3263,,raid
1.2,2908,,coliseum
1.2,3931,,coliseum
1.2,1916,,tm
1.2,2261,,tm
1.2,3416,,tm
1.2,3758,,tm
1.2,3822,,tm
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
