x_pts,id,ver,type
2.5,4133,,
1.6,4134,,
1.6,4135,,
1.4,4122,2,
1.4,4124,2,
1.4,4108,2,
1.4,4127,2,
1.4,4128,2,
1.35,4118,4,
1.35,4132,4,
1.35,4125,4,
1.35,4126,4,
1.35,4119,4,
1.35,4120,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4067,2,
1.25,4068,2,
1.25,1853,2,
1.25,2000,2,
1.25,2583,2,
1.25,2659,2,
1.25,2977,2,
1.25,2995,2,
1.25,3197,2,
1.25,3297,2,
1.25,3491,2,
1.25,3527,2,
1.25,3758,2,
1.25,4089,2,
1.2,4111,,legend
1.2,4112,,rr
1.2,4113,,rr
1.2,3686,,rr
1.2,3687,,rr
1.2,3688,,rr
1.2,4004,,rr
1.2,4005,,rr
1.2,4092,,rr
1.2,4093,,rr
1.2,4094,,rr
1.2,0603,,raid
1.2,0836,,raid
1.2,1830,,raid
1.2,1879,,raid
1.2,2015,,raid
1.2,2197,,raid
1.2,2263,,raid
1.2,2394,,raid
1.2,2517,,raid
1.2,2819,,raid
1.2,3143,,raid
1.2,3399,,raid
1.2,0951,,coliseum
1.2,1630,,coliseum
1.2,1733,,coliseum
1.2,2111,,coliseum
1.2,2611,,coliseum
1.2,3110,,coliseum
1.2,3189,,coliseum
1.2,3269,,coliseum
1.2,3293,,coliseum
1.2,3361,,coliseum
1.2,3580,,coliseum
1.2,0765,,fortnight
1.2,0852,,fortnight
1.2,0887,,fortnight
1.2,1169,,fortnight
1.2,2056,,fortnight
1.2,2088,,fortnight
1.2,4129,,other
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
