x_pts,id,ver,type
2.2,9019,2,
2.2,9020,2,
1.8,4530,,
1.8,4531,,
1.4,4521,2,
1.4,4522,2,
1.4,4523,2,
1.4,4511,2,
1.4,4526,2,
1.4,4527,2,
1.35,4506,4,
1.35,4507,4,
1.35,4520,4,
1.35,4518,4,
1.35,4528,4,
1.35,4508,4,
1.35,4509,4,
1.35,4524,4,
1.35,4525,4,
1.35,4513,4,
1.35,4514,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,4274,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4193,2,
1.25,4227,2,
1.25,4250,2,
1.25,4282,2,
1.25,4300,2,
1.25,4314,2,
1.25,4345,2,
1.25,4401,2,
1.25,4419,2,
1.25,4483,2,
1.25,4499,2,
1.25,4515,2,
1.25,4497,2,
1.2,4490,,legend
1.2,4491,,legend
1.2,4492,,legend
1.2,4493,,legend
1.2,4494,,rr
1.2,4495,,rr
1.2,4228,,rr
1.2,4229,,rr
1.2,4251,,rr
1.2,4252,,rr
1.2,4500,,rr
1.2,4501,,rr
1.2,4516,,rr
1.2,4517,,rr
1.2,2336,,tm
1.2,2823,,tm
1.2,1924,,raid
1.2,2670,,raid
1.2,2249,,coliseum
1.2,3499,,coliseum
1.2,4176,,other
1.2,4177,,other
1.2,4190,,other
1.2,4191,,other
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
