x_pts,id,ver,type
2,4250,,
2,4251,,
2,4252,,
1.4,4240,2,
1.4,4242,2,
1.4,4225,2,
1.4,4245,2,
1.4,4246,2,
1.35,4233,4,
1.35,4237,4,
1.35,4247,4,
1.35,9015,4,
1.35,9016,4,
1.35,4238,4,
1.35,4243,4,
1.35,4244,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4193,2,
1.25,4227,2,
1.25,4234,2,
1.25,4235,2,
1.25,4206,2,
1.2,3463,,rr
1.2,3464,,rr
1.2,3862,,rr
1.2,3863,,rr
1.2,4228,,rr
1.2,4229,,rr
1.2,2698,,raid
1.2,2504,,raid
1.2,3399,,raid
1.2,3329,,coliseum
1.2,2977,,tm
1.2,3197,,tm
1.2,3339,,tm
1.2,3894,,tm
1.2,4006,,tm
1.2,3976,,other
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
