x_pts,id,ver,type
2.2,4623,2,
1.8,4624,,
1.8,4625,,
1.4,4614,2,
1.4,4615,2,
1.4,4616,2,
1.4,4602,2,
1.4,4618,2,
1.4,4619,2,
1.35,4597,4,
1.35,4598,4,
1.35,4603,4,
1.35,4613,4,
1.35,4611,4,
1.35,4612,4,
1.35,4599,4,
1.35,4600,4,
1.35,4617,4,
1.35,4620,4,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,4282,2,
1.25,4300,2,
1.25,4314,2,
1.25,4345,2,
1.25,4401,2,
1.25,4419,2,
1.25,4483,2,
1.25,4499,2,
1.25,4515,2,
1.25,4589,2,
1.2,4583,,legend
1.2,4584,,legend
1.2,4585,,legend
1.2,4591,,legend
1.2,4608,,legend
1.2,4586,,rr
1.2,4587,,rr
1.2,3365,,rr
1.2,3366,,rr
1.2,3367,,rr
1.2,4484,,rr
1.2,4485,,rr
1.2,4486,,rr
1.2,4592,,rr
1.2,4593,,rr
1.2,4609,,rr
1.2,4610,,rr
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
