x_pts,id,ver,type
2,4314,,
2,4315,,
2,4316,,
1.4,4307,2,
1.4,4308,2,
1.4,4298,2,
1.4,4311,2,
1.4,4312,2,
1.35,4303,4,
1.35,4306,4,
1.35,4313,4,
1.35,4290,4,
1.35,4291,4,
1.35,4292,4,
1.35,4293,4,
1.35,4295,4,
1.35,4296,4,
1.35,4309,4,
1.35,4310,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,4274,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4193,2,
1.25,4227,2,
1.25,4250,2,
1.25,4282,2,
1.25,4300,2,
1.25,4280,2,
1.25,4317,2,
1.2,4275,,legend
1.2,4276,,legend
1.2,4277,,rr
1.2,4278,,rr
1.2,3642,,rr
1.2,3643,,rr
1.2,4194,,rr
1.2,4195,,rr
1.2,4283,,rr
1.2,4284,,rr
1.2,4301,,rr
1.2,4302,,rr
1.2,2394,,raid
1.2,2473,,raid
1.2,2846,,raid
1.2,1667,,coliseum
1.2,2064,,tm
1.2,2729,,tm
1.2,2792,,tm
1.2,2995,,tm
1.2,3981,,tm
1.2,3551,,other
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
