x_pts,id,ver,type
2.1,4451,,
2.1,4453,,
1.8,4454,,
1.8,4455,,
1.4,4441,2,
1.4,4443,2,
1.4,4430,2,
1.4,4447,2,
1.4,4448,2,
1.35,4425,4,
1.35,4426,4,
1.35,4433,4,
1.35,4439,4,
1.35,4436,4,
1.35,4449,4,
1.35,4432,4,
1.35,4427,4,
1.35,4428,4,
1.35,4444,4,
1.35,4445,4,
1.35,4446,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,4274,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4193,2,
1.25,4227,2,
1.25,4250,2,
1.25,4282,2,
1.25,4300,2,
1.25,4314,2,
1.25,4345,2,
1.25,4401,2,
1.25,4419,2,
1.25,4434,2,
1.25,4435,2,
1.25,4414,2,
1.2,4409,,legend
1.2,4410,,legend
1.2,4411,,rr
1.2,4412,,rr
1.2,3463,,rr
1.2,3464,,rr
1.2,3862,,rr
1.2,3863,,rr
1.2,4420,,rr
1.2,4421,,rr
1.2,2795,,raid
1.2,3946,,raid
1.2,2000,,tm
1.2,3416,,tm
1.2,3108,,other
1.2,3109,,other
1.2,4260,,other
1.2,4261,,other
1.2,4357,,other
1.2,4358,,other
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
