x_pts,id,ver,type
2,4267,,
2,4268,,
2,4269,,
2,4270,,
1.4,4257,2,
1.4,4246,2,
1.4,4260,2,
1.4,4261,2,
1.35,4256,4,
1.35,4262,4,
1.35,4263,4,
1.35,4253,4,
1.35,4258,4,
1.35,4259,4,
1.35,4265,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4193,2,
1.25,4227,2,
1.25,4250,2,
1.25,4225,2,
1.2,3732,,rr
1.2,3733,,rr
1.2,4092,,rr
1.2,4093,,rr
1.2,4094,,rr
1.2,4228,,rr
1.2,4229,,rr
1.2,4251,,rr
1.2,4252,,rr
1.2,1165,,raid
1.2,1518,,raid
1.2,926,,coliseum
1.2,2845,,coliseum
1.2,3385,,coliseum
1.2,2299,,tm
1.2,3239,,tm
1.2,3443,,tm
1.2,3527,,tm
1.2,3936,,tm
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
