x_pts,id,ver,type
2.2,4608,2,
1.8,4609,,
1.8,4610,,
1.4,4597,2,
1.4,4598,2,
1.4,4589,2,
1.4,4601,2,
1.4,4602,2,
1.35,4583,4,
1.35,4584,4,
1.35,4585,4,
1.35,4596,4,
1.35,4586,4,
1.35,4587,4,
1.35,4599,4,
1.35,4600,4,
1.25,3483,2,
1.25,4274,2,
1.25,4250,2,
1.25,4282,2,
1.25,4300,2,
1.25,4314,2,
1.25,4345,2,
1.25,4401,2,
1.25,4419,2,
1.25,4483,2,
1.25,4499,2,
1.25,4555,2,
1.2,4550,,legend
1.2,4551,,legend
1.2,4591,,legend
1.2,4552,,rr
1.2,4553,,rr
1.2,3412,,rr
1.2,3413,,rr
1.2,3414,,rr
1.2,3659,,rr
1.2,3660,,rr
1.2,3661,,rr
1.2,4592,,rr
1.2,4593,,rr
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
