x_pts,id,ver,type
2.5,4179,,
1.6,4180,,
1.6,4181,,
1.4,4171,2,
1.4,4172,2,
1.4,4147,2,
1.4,4176,2,
1.4,4177,2,
1.35,4170,4,
1.35,4167,4,
1.35,4150,4,
1.35,4152,4,
1.35,4153,4,
1.35,4154,4,
1.35,4151,4,
1.35,4173,4,
1.35,4174,4,
1.35,4130,4,
1.35,4131,4,
1.35,4163,4,
1.35,4164,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4128,2,
1.2,4162,,legend
1.2,3365,,rr
1.2,3367,,rr
1.2,4072,,rr
1.2,4073,,rr
1.2,4134,,rr
1.2,4135,,rr
1.2,4158,,rr
1.2,4159,,rr
1.2,353,,raid
1.2,2158,,raid
1.2,3209,,raid
1.2,1978,,coliseum
1.2,2869,,coliseum
1.2,2261,,tm
1.2,2763,,tm
1.2,3060,,tm
1.2,3712,,tm
1.2,3822,,tm
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
