x_pts,id,ver,type
2.5,9011,,
2.5,9012,,
2.5,4212,,
1.6,4213,,
1.6,4214,,
1.6,4215,,
1.4,4202,2,
1.4,4191,2,
1.4,4205,2,
1.4,4206,2,
1.35,4199,4,
1.35,4197,4,
1.35,4162,4,
1.35,4203,4,
1.35,4204,4,
1.35,4200,4,
1.35,4201,4,
1.35,4208,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4193,2,
1.25,4177,2,
1.2,4171,,legend
1.2,4172,,legend
1.2,4186,,legend
1.2,4187,,legend
1.2,4182,,legend
1.2,3484,,rr
1.2,3485,,rr
1.2,3659,,rr
1.2,3660,,rr
1.2,3661,,rr
1.2,4180,,rr
1.2,4181,,rr
1.2,4194,,rr
1.2,4195,,rr
1.2,2281,,raid
1.2,2356,,raid
1.2,2684,,raid
1.2,3269,,coliseum
1.2,1916,,tm
1.2,3368,,tm
1.2,3778,,tm
1.2,3801,,tm
1.2,3965,,tm
1.2,3425,,other
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
