x_pts,id,ver,type
2.2,4591,2,
1.8,4592,,
1.8,4593,,
1.4,4583,2,
1.4,4584,2,
1.4,4585,2,
1.4,4555,2,
1.4,4588,2,
1.4,4589,2,
1.35,4550,4,
1.35,4551,4,
1.35,4579,4,
1.35,4557,4,
1.35,4558,4,
1.35,4559,4,
1.35,4560,4,
1.35,4561,4,
1.35,4562,4,
1.35,4563,4,
1.35,4564,4,
1.35,4571,4,
1.35,4552,4,
1.35,4553,4,
1.35,4586,4,
1.35,4587,4,
1.35,4572,4,
1.35,4573,4,
1.35,4574,4,
1.35,4575,4,
1.25,3364,2,
1.25,3462,2,
1.25,4227,2,
1.25,4250,2,
1.25,4282,2,
1.25,4300,2,
1.25,4314,2,
1.25,4345,2,
1.25,4401,2,
1.25,4419,2,
1.25,4483,2,
1.25,4565,2,
1.25,4566,2,
1.25,4569,2,
1.25,4570,2,
1.25,4541,2,
1.2,4536,,legend
1.2,4537,,legend
1.2,4544,,legend
1.2,4538,,rr
1.2,4539,,rr
1.2,4402,,rr
1.2,4404,,rr
1.2,4420,,rr
1.2,4421,,rr
1.2,4545,,rr
1.2,4546,,rr
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
