x_pts,id,ver,type
2,4419,,
2,4420,,
2,4421,,
1.85,4418,,
1.4,4409,2,
1.4,4410,2,
1.4,4399,2,
1.4,4413,2,
1.4,4414,2,
1.35,4394,4,
1.35,4395,4,
1.35,4408,4,
1.35,4405,4,
1.35,4396,4,
1.35,4397,4,
1.35,4411,4,
1.35,4412,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,4274,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4193,2,
1.25,4227,2,
1.25,4250,2,
1.25,4282,2,
1.25,4300,2,
1.25,4314,2,
1.25,4345,2,
1.25,4401,2,
1.25,4385,2,
1.2,4381,,legend
1.2,4380,,legend
1.2,4387,,legend
1.2,4388,,legend
1.2,1916,,tm
1.2,3217,,tm
1.2,3621,,tm
1.2,3663,,tm
1.2,4382,,rr
1.2,4383,,rr
1.2,4389,,rr
1.2,4390,,rr
1.2,3732,,rr
1.2,3733,,rr
1.2,3776,,rr
1.2,3777,,rr
1.2,4402,,rr
1.2,4404,,rr
1.2,2893,,raid
1.2,3946,,raid
1.2,804,,coliseum
1.2,3408,,coliseum
1.2,4279,,other
1.2,4280,,other
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
