x_pts,id,ver,type
2,4387,,
2,4388,,
1.6,4389,,
1.6,4390,,
1.4,4380,2,
1.4,4381,2,
1.4,4358,2,
1.4,4384,2,
1.4,4385,2,
1.35,4353,4,
1.35,4354,4,
1.35,4378,4,
1.35,4365,4,
1.35,4366,4,
1.35,4367,4,
1.35,4355,4,
1.35,4356,4,
1.35,4382,4,
1.35,4383,4,
1.35,4373,4,
1.35,4374,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,4274,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4193,2,
1.25,4227,2,
1.25,4250,2,
1.25,4282,2,
1.25,4300,2,
1.25,4314,2,
1.25,4345,2,
1.25,4368,2,
1.25,4369,2,
1.25,4370,2,
1.25,4342,2,
1.2,4336,,legend
1.2,4337,,legend
1.2,4338,,legend
1.2,4371,,legend
1.2,4339,,rr
1.2,4340,,rr
1.2,4372,,rr
1.2,3484,,rr
1.2,3485,,rr
1.2,3524,,rr
1.2,3525,,rr
1.2,4346,,rr
1.2,4347,,rr
1.2,418,,raid
1.2,1108,,raid
1.2,3145,,coliseum
1.2,1972,,tm
1.2,3467,,tm
1.2,3736,,tm
1.2,3626,,other
1.2,3627,,other
1.2,4088,,other
1.2,4089,,other
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
