x_pts,id,ver,type
2,9017,,
2,9018,,
1.8,4470,,
1.8,4471,,
1.4,4459,2,
1.4,4460,2,
1.4,4448,2,
1.4,4463,2,
1.4,4464,2,
1.35,4458,4,
1.35,4465,4,
1.35,4466,4,
1.35,4441,4,
1.35,4443,4,
1.35,4451,4,
1.35,4453,4,
1.35,4444,4,
1.35,4445,4,
1.35,4446,4,
1.35,4461,4,
1.35,4462,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,4274,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4193,2,
1.25,4227,2,
1.25,4250,2,
1.25,4282,2,
1.25,4300,2,
1.25,4314,2,
1.25,4345,2,
1.25,4401,2,
1.25,4419,2,
1.25,4454,2,
1.25,4455,2,
1.25,4430,2,
1.2,4425,,legend
1.2,4426,,legend
1.2,4433,,legend
1.2,4432,,legend
1.2,4427,,rr
1.2,4428,,rr
1.2,4434,,rr
1.2,4435,,rr
1.2,3934,,rr
1.2,3935,,rr
1.2,3962,,rr
1.2,3963,,rr
1.2,3964,,rr
1.2,1830,,raid
1.2,1924,,raid
1.2,2471,,coliseum
1.2,2785,,coliseum
1.2,3049,,coliseum
1.2,1853,,tm
1.2,2387,,tm
1.2,2690,,tm
1.2,2763,,tm
1.2,2913,,tm
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
