x_pts,id,ver,type
2.2,4544,2,
1.8,4545,,
1.8,4546,,
1.4,4536,2,
1.4,4537,2,
1.4,4527,2,
1.4,4540,2,
1.4,4541,2,
1.35,4523,4,
1.35,4535,4,
1.35,4532,4,
1.35,4543,4,
1.35,4521,4,
1.35,4522,4,
1.35,4524,4,
1.35,4525,4,
1.35,4538,4,
1.35,4539,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,4274,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4193,2,
1.25,4227,2,
1.25,4250,2,
1.25,4282,2,
1.25,4300,2,
1.25,4314,2,
1.25,4345,2,
1.25,4401,2,
1.25,4419,2,
1.25,4483,2,
1.25,4499,2,
1.25,4515,2,
1.25,4511,2,
1.2,4506,,legend
1.2,4507,,legend
1.2,9019,,legend
1.2,9020,,legend
1.2,4508,,rr
1.2,4509,,rr
1.2,4283,,rr
1.2,4284,,rr
1.2,4301,,rr
1.2,4302,,rr
1.2,4516,,rr
1.2,4517,,rr
1.2,4530,,rr
1.2,4531,,rr
1.2,2583,,tm
1.2,2913,,tm
1.2,1943,,raid
1.2,2569,,coliseum
1.2,3361,,coliseum
1.2,3419,,other
1.2,4088,,other
1.2,4089,,other
1.2,4245,,other
1.2,4246,,other
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
