x_pts,id,ver,type
2,4499,,
1.8,4500,,
1.8,4501,,
1.4,4490,2,
1.4,4491,2,
1.4,4492,2,
1.4,4493,2,
1.4,4481,2,
1.4,4496,2,
1.4,4497,2,
1.35,4489,4,
1.35,4487,4,
1.35,4498,4,
1.35,4476,4,
1.35,4477,4,
1.35,4478,4,
1.35,4479,4,
1.35,4494,4,
1.35,4495,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,4274,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4193,2,
1.25,4227,2,
1.25,4250,2,
1.25,4282,2,
1.25,4300,2,
1.25,4314,2,
1.25,4345,2,
1.25,4401,2,
1.25,4419,2,
1.25,4483,2,
1.25,4464,2,
1.2,4459,,legend
1.2,4460,,legend
1.2,9017,,legend
1.2,9018,,legend
1.2,4461,,rr
1.2,4462,,rr
1.2,4470,,rr
1.2,4471,,rr
1.2,4092,,rr
1.2,4093,,rr
1.2,4094,,rr
1.2,4134,,rr
1.2,4135,,rr
1.2,4484,,rr
1.2,4485,,rr
1.2,4486,,rr
1.2,2850,,tm
1.2,3941,,other
1.2,3942,,other
1.2,3990,,other
1.2,3991,,other
1.2,3927,,other
1.2,4127,,other
1.2,4128,,other
1.2,4398,,other
1.2,4399,,other
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
